location,ssid,mac,signal
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-66.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-66.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-65.0
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-65.0
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-60.0
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-60.0
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-62.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-62.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-66.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
Location_A,Jojoy,60:a4:b7:05:3a:9e,-87.0
Location_A,Tan Network_5G,c8:bf:4c:78:62:0a,-82.5
Location_A,BS-TIME5GHz,f4:8c:eb:05:69:92,-85.5
Location_A,Jihat79,a4:2a:95:b9:a5:d7,-82.5
Location_A,DRTC,04:ba:d6:5d:fe:a1,-90.0
Location_A,Gokush_2.4GHz,04:ba:d6:c9:77:82,-85.5
Location_A,Gokush_2.4GHz,ce:bf:4c:78:62:0b,-60.0
Location_A,A&A MAXIS,18:34:af:2b:b5:f0,-81.0
Location_A,X2@A1118,98:3f:60:64:f8:b8,-84.5
Location_A,sylvesterchia_2.4GHz,1c:3b:f3:2b:82:e8,-81.0
Location_A,ED SPEED_2.4G,3a:20:28:e4:12:dc,-75.0
Location_A,A2215T - 2.4GHz,f0:b4:d2:78:82:08,-87.0
Location_A,Woon Family,84:d8:1b:bd:1e:aa,-85.5
Location_A,Kennethng,60:a4:b7:99:8c:30,-60.0
Location_A,Kennethng,00:31:92:51:dd:b4,-82.5
Location_A,Kennethng,60:a4:b7:99:8c:32,-81.0
Location_A,A&A 5GHZ,18:34:af:2b:b5:f1,-83.5
Location_A,SG_UNIFI@unifi,bc:22:28:4e:c7:9c,-81.0
Location_A,BEH_EXT,00:eb:d8:22:98:ef,-66.5
Location_A,BEH_EXT,00:eb:d8:22:98:ee,-57.5
Location_A,BS-TIME2.4GHz,f4:8c:eb:05:69:90,-61.0
Location_A,NSNT,d8:10:9f:9a:42:8c,-59.5
